,name,num
0,盗窃罪 ,507299
1,危险驾驶罪 ,366880
2,故意伤害罪 ,250798
3,交通肇事罪 ,179590
4,走私、贩卖、运输、制造毒品罪 ,153073
5,容留他人吸毒罪 ,77238
6,诈骗罪 ,75432
7,寻衅滋事罪 ,63970
8,开设赌场罪 ,40834
9,抢劫罪 ,37959
10,信用卡诈骗罪 ,28302
11,非法持有毒品罪 ,27987
12,妨害公务罪 ,25744
13,非法持有、私藏枪支、弹药罪 ,22673
14,非法拘禁罪 ,19939
15,掩饰、隐瞒犯罪所得、犯罪所得收益罪 ,18854
16,赌博罪 ,16201
17,滥伐林木罪 ,15455
18,故意毁坏财物罪 ,14870
19,受贿罪 ,14438
20,贪污罪 ,14002
21,非法经营罪 ,13533
22,抢夺罪 ,12485
23,合同诈骗罪 ,12391
24,聚众斗殴罪 ,11839
25,职务侵占罪 ,10944
26,敲诈勒索罪 ,10838
27,故意杀人罪 ,10077
28,引诱、容留、介绍卖淫罪 ,9472
29,生产、销售假药罪 ,9258
30,生产、销售有毒、有害食品罪 ,8159
31,过失致人死亡罪 ,6706
32,非法吸收公众存款罪 ,6580
33,非法制造、买卖、运输、邮寄、储存枪支、弹药、爆炸物罪 ,6513
34,虚开增值税专用发票、用于骗取出口退税、抵扣税款发票罪 ,6498
35,失火罪 ,6430
36,非法占用农用地罪 ,6128
37,生产、销售不符合安全标准的食品罪 ,5696
38,行贿罪 ,5627
39,盗伐林木罪 ,5360
40,强奸罪 ,5331
41,伪造、变造、买卖国家机关公文、证件、印章罪 ,5043
42,放火罪 ,4903
43,挪用资金罪 ,4740
44,玩忽职守罪 ,4286
45,挪用公款罪 ,4259
46,非法行医罪 ,4015
47,假冒注册商标罪 ,3966
48,销售假冒注册商标的商品罪 ,3866
49,污染环境罪 ,3799
50,滥用职权罪 ,3654
51,拒不执行判决、裁定罪 ,3518
52,拒不支付劳动报酬罪 ,3428
53,重大责任事故罪 ,3368
54,组织、领导传销活动罪 ,2977
55,伪造公司、企业、事业单位、人民团体印章罪 ,2713
56,生产、销售伪劣产品罪 ,2668
57,骗取贷款、票据承兑、金融票证罪 ,2640
58,窝藏、包庇罪 ,2611
59,非国家工作人员受贿罪 ,2449
60,制作、复制、出版、贩卖、传播淫秽物品牟利罪 ,2365
61,非法采伐、毁坏国家重点保护植物罪 ,2237
62,非法种植毒品原植物罪 ,2092
63,非法入侵住宅罪 ,1846
64,非法狩猎罪 ,1843
65,组织、利用会道门、邪教组织、利用迷信破坏法律实施罪 ,1838
66,非法捕捞水产品罪 ,1795
67,破坏广播电视设施、公用电信设施罪 ,1726
68,单位行贿罪 ,1670
69,招摇撞骗罪 ,1629
70,妨害信用卡管理罪 ,1625
71,非法采矿罪 ,1593
72,刑事其他 ,1504
73,拐卖妇女、儿童罪 ,1476
74,以危险方法危害公共安全罪 ,1350
75,重婚罪 ,1336
76,破坏生产经营罪 ,1320
77,虚开发票罪 ,1273
78,聚众扰乱社会秩序罪 ,1262
79,非法收购、运输、出售珍贵、濒危野生动物、珍贵、濒危野生动物制品罪 ,1220
80,过失致人重伤罪 ,1219
81,走私普通货物、物品罪 ,1214
82,绑架罪 ,1209
83,组织卖淫罪 ,1148
84,集资诈骗罪 ,1135
85,非法制造、出售非法制造的发票罪 ,1111
86,偷越国（边）境罪 ,1068
87,强迫交易罪 ,1066
88,侵犯著作权罪 ,988
89,保险诈骗罪 ,975
90,传播淫秽物品罪 ,961
91,强制猥亵、侮辱罪 ,943
92,盗掘古文化遗址、古墓葬罪 ,901
93,破坏电力设备罪 ,894
94,侵犯公民个人信息罪 ,884
95,猥亵儿童罪 ,855
96,持有伪造的发票罪 ,838
97,非法收购、运输、加工、出售国家重点保护植物、国家重点保护植物制品罪 ,809
98,重大劳动安全事故罪 ,684
99,非法转让、倒卖土地使用权罪 ,679
100,协助组织卖淫罪 ,651
101,非法制造、销售非法制造的注册商标标识罪 ,647
102,非法处置查封、扣押、冻结的财产罪 ,631
103,破坏易燃易爆设备罪 ,597
104,非法买卖制毒物品罪 ,563
105,投放危险物质罪 ,541
106,持有、使用假币罪 ,535
107,贷款诈骗罪 ,528
108,非法猎捕、杀害珍贵、濒危野生动物罪 ,464
109,聚众扰乱公共场所秩序、交通秩序罪 ,454
110,组织他人偷越国（边）境罪 ,428
111,诬告陷害罪 ,422
112,伪造、变造、买卖居民身份证罪 ,417
113,扰乱无线电通讯管理秩序罪 ,409
114,妨害作证罪 ,399
115,违法发放贷款罪 ,396
116,对非国家工作人员行贿罪 ,395
117,出售、购买、运输假币罪 ,395
118,窝藏、转移、隐瞒毒品、毒赃罪 ,364
119,串通投标罪 ,357
120,帮助毁灭、伪造证据罪 ,340
121,票据诈骗罪 ,337
122,单位受贿罪 ,307
123,脱逃罪 ,306
124,组织、领导、参加黑社会性质组织罪 ,304
125,非法收购、运输盗伐、滥伐的林木罪 ,303
126,运送他人偷越国（边）境罪 ,295
127,冒充军人招摇撞骗罪 ,282
128,私分国有资产罪 ,266
129,过失以危险方法危害公共安全罪 ,260
130,爆炸罪 ,252
131,伪证罪 ,251
132,介绍贿赂罪 ,250
133,非法进行节育手术罪 ,250
134,徇私枉法罪 ,249
135,侵占罪 ,248
136,破坏监管秩序罪 ,246
137,伪造、变造金融票证罪 ,240
138,逃税罪 ,230
139,虚报注册资本罪 ,226
140,非法生产、销售间谍专用器材罪 ,212
141,非法出售发票罪 ,205
142,走私国家禁止进出口的货物、物品罪 ,204
143,编造、故意传播虚假恐怖信息罪 ,198
144,拐骗儿童罪 ,193
145,遗弃罪 ,190
146,引诱、教唆、欺骗他人吸毒罪 ,188
147,聚众冲击国家机关罪 ,187
148,非法组织卖血罪 ,179
149,非法获取计算机信息系统数据、非法控制计算机信息系统罪 ,175
150,走私珍贵动物、珍贵动物制品罪 ,174
151,非法获取国家秘密罪 ,172
152,动植物检疫徇私舞弊罪 ,169
153,强迫卖淫罪 ,169
154,破坏计算机信息系统罪 ,166
155,对单位行贿罪 ,160
156,隐匿、故意销毁会计凭证、会计帐簿、财务会计报告罪 ,150
157,帮助犯罪分子逃避处罚罪 ,149
158,非法制造、买卖、运输、储存危险物质罪 ,145
159,盗窃、侮辱、故意毁坏尸体、尸骨、骨灰罪 ,121
160,走私武器、弹药罪 ,119
161,巨额财产来源不明罪 ,117
162,使用虚假身份证件、盗用身份证件罪 ,116
163,非法携带枪支、弹药、管制刀具、危险物品危及公共安全罪 ,114
164,破坏交通设施罪 ,114
165,组织淫秽表演罪 ,111
166,生产、销售伪劣农药、兽药、化肥、种子罪 ,103
167,收买被拐卖的妇女、儿童罪 ,101
168,危险物品肇事罪 ,98
169,走私废物罪 ,96
170,过失损坏广播电视设施、公用电信设施罪 ,93
171,徇私舞弊不移交刑事案件罪 ,91
172,伪造、倒卖伪造的有价票证罪 ,91
173,虚假出资、抽逃出资罪 ,89
174,侮辱罪 ,89
175,提供侵入、非法控制计算机信息系统程序、工具罪 ,81
176,窃取、收买、非法提供信用卡信息罪 ,79
177,招收公务员、学生徇私舞弊罪 ,76
178,伪造货币罪 ,74
179,挪用特定款物罪 ,73
180,伪造、变造、买卖武装部队公文、证件、印章罪 ,71
181,盗窃、抢夺枪支、弹药、爆炸物、危险物质罪 ,71
182,代替考试罪 ,71
183,强迫劳动罪 ,71
184,非法生产、买卖警用装备罪 ,71
185,传播性病罪 ,70
186,利用影响力受贿罪 ,69
187,诽谤罪 ,68
188,聚众哄抢罪 ,63
189,组织考试作弊罪 ,61
190,过失投放危险物质罪 ,55
191,过失损坏武器装备、军事设施、军事通信罪 ,54
